author1_fname,author1_lname,author1_institution,author2_fname,author2_lname,author2_institution,author3_fname,author3_lname,author3_institution,author4_fname,author4_lname,author4_institution,author5_fname,author5_lname,author5_institution,author6_fname,author6_lname,author6_institution,author7_fname,author7_lname,author7_institution,author8_fname,author8_lname,author8_institution,author9_fname,author9_lname,author9_institution,author10_fname,author10_lname,author10_institution,author11_fname,author11_lname,author11_institution,author12_fname,author12_lname,author12_institution,author13_fname,author13_lname,author13_institution,author14_fname,author14_lname,author14_institution,author15_fname,author15_lname,author15_institution,author16_fname,author16_lname,author16_institution,author17_fname,author17_lname,author17_institution,author18_fname,author18_lname,author18_institution,author19_fname,author19_lname,author19_institution,author20_fname,author20_lname,author20_institution,author21_fname,author21_lname,author21_institution,author22_fname,author22_lname,author22_institution,author23_fname,author23_lname,author23_institution,author24_fname,author24_lname,author24_institution,author25_fname,author25_lname,author25_institution,author26_fname,author26_lname,author26_institution,author27_fname,author27_lname,author27_institution,author28_fname,author28_lname,author28_institution,author29_fname,author29_lname,author29_institution,author30_fname,author30_lname,author30_institution
Lin,Li,Xidian University,Zhiyuan,Dong,Xidian University,Zhigang,Zhu,Xidian University,Qingtang,Jiang,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Kumar,Dass,University of Miami,Nick,Petersen,University of Miami,Marisa,Omori,University of Missouri-St. Louis,Tamara Rice,Lave,University of Miami,Ubbo,Visser,University of Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. G.,Harnett,McLean Hospital,N. M.,Dumornay,McLean Hospital,M.,Delity,McLean Hospital,L. D.,Sanchez,Brigham and Women's Hospital,K.,Mohiuddin,Albert Einstein Healthcare Network,P. I.,Musey,Indiana University School of Medicine,M. J.,Seamon,University of Pennsylvania,S. A.,McLean,The University of North Carolina at Chapel Hill,R. C.,Kessler,Harvard Medical School,K. C.,Koenen,Harvard T.H. Chan School of Public Health,F. L.,Beaudoin,The Warren Alpert Medical School,L. A.M.,Lebois,McLean Hospital,S. J.H.,Van Rooij,Emory University School of Medicine,N. A.,Sampson,Harvard Medical School,V.,Michopoulos,Emory University School of Medicine,J. L.,Maples-Keller,Emory University School of Medicine,J. P.,Haran,University of Massachusetts Chan Medical School,A. B.,Storrow,Vanderbilt University Medical Center,C.,Lewandowski,Henry Ford Health System,P. L.,Hendry,University of Florida College of Medicine,S.,Sheikh,University of Florida College of Medicine,C. W.,Jones,Cooper Medical School of Rowan University,B. E.,Punches,University of Cincinnati College of Medicine,M. C.,Kurz,University of Alabama at Birmingham School of Medicine,R. A.,Swor,Oakland University William Beaumont School of Medicine,M. E.,McGrath,Boston Medical Center,L. A.,Hudak,Emory University School of Medicine,J. L.,Pascual,University of Pennsylvania,S. L.,House,Washington University School of Medicine in St. Louis,X.,An,The University of North Carolina at Chapel Hill
Rachel P.,Winograd,Missouri Institute of Mental Health,Bridget,Coffey,Missouri Institute of Mental Health,Candice,Woolfolk,Missouri Institute of Mental Health,Claire A.,Wood,Missouri Institute of Mental Health,Vinith,Ilavarasan,Missouri Institute of Mental Health,David,Liss,Washington University School of Medicine in St. Louis,Subodh,Jain,Spectrum Health,Erin,Stringfellow,Massachusetts General Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agata,Freedle,Lindenwood University,Emily,Oliveira,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip,Chrostoski,University of Missouri-St. Louis,Chathuri,Silva,University of Missouri-St. Louis,Ryan,Molitor,University of Missouri-St. Louis,Philip,Fraundorf,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shibani S.,Mukerji,Massachusetts General Hospital,Kalen J.,Petersen,Washington University in St. Louis,Kilian M.,Pohl,Stanford University,Raha M.,Dastgheyb,Johns Hopkins School of Medicine,Howard S.,Fox,University of Nebraska Medical Center,Robert M.,Bilder,"University of California, Los Angeles",Marie Josee,Brouillette,Université McGill,Alden L.,Gross,Johns Hopkins Bloomberg School of Public Health,Lori A.J.,Scott-Sheldon,National Institute of Mental Health (NIMH),Robert H.,Paul,Missouri Institute of Mental Health,Dana,Gabuzda,Dana-Farber Cancer Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wuliang,Peng,Yantai University,Xuejun,Lin,Yantai University,Haitao,Li,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura M.,Westhoff,University of Missouri-St. Louis,Robert D.,Johnston,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelby J.,Jarrett-Noland,University of Missouri-St. Louis,William,McConnell,University of Missouri-St. Louis,Janet,Braddock-Wilking,University of Missouri-St. Louis,Cynthia M.,Dupureur,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanie M.,Merritt,University of Missouri-St. Louis,Ellen E.,Lynch,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sai Anvesh,Bezawada,University of Missouri-St. Louis,Neira,Ušto,University of Missouri-St. Louis,Chloe,Wilke,University of Missouri-St. Louis,Michael,Barnes-Flaspoler,University of Missouri-St. Louis,Rajamoni,Jagan,University of Missouri-St. Louis,Eike B.,Bauer,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen,Bagwell,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baorong,Guo,University of Missouri-St. Louis,Jin,Huang,St. Louis University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khrystyna,Stetsiv,University of Missouri-St. Louis,Kevin,Rebmann,University of Missouri-St. Louis,Chelsey R.,Wilks,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura D.,Straus,San Francisco VA Health Care System,Xinming,An,The University of North Carolina at Chapel Hill,Yinyao,Ji,The University of North Carolina at Chapel Hill,Samuel A.,McLean,The University of North Carolina at Chapel Hill,Thomas C.,Neylan,"University of California, San Francisco",Ayse S.,Cakmak,School of Electrical and Computer Engineering,Anne,Richards,"University of California, San Francisco",Gari D.,Clifford,Emory University School of Medicine,Mochuan,Liu,The University of North Carolina at Chapel Hill,Donglin,Zeng,The University of North Carolina at Chapel Hill,Stacey L.,House,Washington University School of Medicine in St. Louis,Francesca L.,Beaudoin,Brown University,Jennifer S.,Stevens,Emory University School of Medicine,Sarah D.,Linnstaedt,The University of North Carolina at Chapel Hill,Laura T.,Germine,McLean Hospital,Kenneth A.,Bollen,The University of North Carolina at Chapel Hill,Scott L.,Rauch,McLean Hospital,John P.,Haran,University of Massachusetts Chan Medical School,Alan B.,Storrow,Vanderbilt University Medical Center,Christopher,Lewandowski,Henry Ford Health System,Paul I.,Musey,Indiana University School of Medicine,Phyllis L.,Hendry,University of Florida College of Medicine,Sophia,Sheikh,University of Florida College of Medicine,Christopher W.,Jones,Cooper Medical School of Rowan University,Brittany E.,Punches,The Ohio State University College of Medicine,Michael C.,Kurz,University of Alabama at Birmingham School of Medicine,Robert A.,Swor,Oakland University William Beaumont School of Medicine,Lauren A.,Hudak,Emory University School of Medicine,Mark J.,Seamon,University of Pennsylvania Perelman School of Medicine,Elizabeth M.,Datner,Einstein Healthcare Network
Hannah S.,Szlyk,Washington University School of Medicine in St. Louis,Xiao,Li,Washington University School of Medicine in St. Louis,Lindsey M.,Filiatreau,Washington University School of Medicine in St. Louis,Laura J.,Bierut,Washington University School of Medicine in St. Louis,Devin,Banks,University of Missouri-St. Louis,Patricia,Cavazos-Rehg,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip L.,Waalkes,University of Missouri-St. Louis,Daniel Andrew,DeCino,University of South Dakota,Joe,LeBlanc,James Madison University,Monica Maria,Phelps-Pineda,University of Missouri-St. Louis,Tiffany,Somerville,University of Missouri-St. Louis,Stephen V.,Flynn,Plymouth State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Compton-Lilly,University of South Carolina,Tisha Lewis,Ellison,University of Georgia,Rebecca,Rogers,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea C.,Hupman,University of Missouri-St. Louis,Jay,Simon,American University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John P.,Meriac,University of Missouri-St. Louis,Kara E.,Rasmussen,University of Missouri-St. Louis,Jo,Pang,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yan,Zhang,Shenyang Normal University,Cody,Ding,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,Ansong,The University of North Carolina at Chapel Hill,Isaac,Koomson,The University of Queensland,Moses,Okumu,University of Illinois Urbana-Champaign,Mustapha,Alhassan,Clark Atlanta University,Timothy,Makubuya,University of Missouri-St. Louis,Might Kojo,Abreh,University of Cape Coast Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaifeng,Fan,University of Wisconsin-Whitewater,Jeff,Jump,CFO of Meister Cheese & Muscoda Protein Products,Yiuman,Tse,University of Missouri-St. Louis,Linda,Yu,University of Wisconsin-Whitewater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher W.,Jones,Cooper Medical School of Rowan University,Xinming,An,The University of North Carolina at Chapel Hill,Yinyao,Ji,The University of North Carolina at Chapel Hill,Mochuan,Liu,The University of North Carolina at Chapel Hill,Donglin,Zeng,The University of North Carolina at Chapel Hill,Stacey L.,House,Washington University School of Medicine in St. Louis,Francesca L.,Beaudoin,The Warren Alpert Medical School,Jennifer S.,Stevens,Emory University School of Medicine,Thomas C.,Neylan,"University of California, San Francisco",Gari D.,Clifford,Emory University School of Medicine,Tanja,Jovanovic,Wayne State University,Sarah D.,Linnstaedt,The University of North Carolina at Chapel Hill,Laura T.,Germine,McLean Hospital,Kenneth A.,Bollen,The University of North Carolina at Chapel Hill,Scott L.,Rauch,McLean Hospital,John P.,Haran,University of Massachusetts Chan Medical School,Alan B.,Storrow,Vanderbilt University Medical Center,Christopher,Lewandowski,Henry Ford Health System,Paul I.,Musey,Indiana University School of Medicine,Phyllis L.,Hendry,Indiana University School of Medicine,Sophia,Sheikh,University of Florida College of Medicine,Brittany E.,Punches,University of Florida College of Medicine,Michael S.,Lyons,University of Cincinnati,Michael C.,Kurz,University of Alabama at Birmingham School of Medicine,Robert A.,Swor,Oakland University William Beaumont School of Medicine,Meghan E.,McGrath,Boston Medical Center,Lauren A.,Hudak,Emory University School of Medicine,Jose L.,Pascual,University of Pennsylvania,Mark J.,Seamon,University of Pennsylvania,Elizabeth M.,Datner,Thomas Jefferson University
Sarah,Barelier,Aix Marseille Université,Romain,Avellan,Institut de Microbiologie de la Méditerranée,Giri Raj,Gnawali,University of Missouri-St. Louis,Patrick,Fourquet,Centre de Recherche en Cancerologie de Marseille,Véronique,Roig-Zamboni,Aix Marseille Université,Isabelle,Poncin,Institut de Microbiologie de la Méditerranée,Vanessa,Point,Institut de Microbiologie de la Méditerranée,Yves,Bourne,Aix Marseille Université,Stéphane,Audebert,Centre de Recherche en Cancerologie de Marseille,Luc,Camoin,Centre de Recherche en Cancerologie de Marseille,Christopher D.,Spilling,University of Missouri-St. Louis,Stéphane,Canaan,Institut de Microbiologie de la Méditerranée,Jean François,Cavalier,Institut de Microbiologie de la Méditerranée,Gerlind,Sulzenbacher,Aix Marseille Université,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oshea,Johnson,University of Miami,Marisa,Omori,University of Missouri-St. Louis,Nick,Petersen,University of Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael W.,Bahr,University of Missouri-St. Louis,Mary,Edwin,University of Missouri-St. Louis,Kara A.,Long,The George Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismail,Alqerm,University of Missouri-St. Louis,Jianli,Pan,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam,Boessen,University of Missouri-St. Louis,Marisa,Omori,University of Missouri-St. Louis,Claire,Greene,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaoli,Du,Southwest University,Qingqing,Li,Huazhong Normal University,Guangcan,Xiang,China Three Gorges University,Mingyue,Xiao,Southwest University,Xinyuan,Liu,Southwest University,Ximei,Chen,Southwest University,Cody,Ding,University of Missouri-St. Louis,Hong,Chen,Southwest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordyn K.,Riehn,St. Louis University,Nina S.,Fogel,St. Louis University,Jordan N.,Hathaway,St. Louis University,Gerardo R.,Camilo,St. Louis University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palak,Sondhi,University of Missouri-St. Louis,Dharmendra,Neupane,St. Louis University,Jay K.,Bhattarai,St. Louis University,Hafsah,Ali,University of Missouri-St. Louis,Alexei V.,Demchenko,St. Louis University,Keith J.,Stine,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleanor B.,Steffens,University of Missouri-St. Louis,Elyse R.,Park,Massachusetts General Hospital,Alona,Muzikansky,Massachusetts General Hospital,Joanna M.,Streck,Massachusetts General Hospital,Jamie S.,Ostroff,Memorial Sloan-Kettering Cancer Center,Autumn W.,Rasmussen,Massachusetts General Hospital,Colin,Ponzani,Massachusetts General Hospital,Giselle K.,Perez,Massachusetts General Hospital,Susan,Regan,Harvard Medical School,Nancy A.,Rigotti,Harvard Medical School,Kelly E.,Irwin,Massachusetts General Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip,Chan,Institute of HIV Research and Innovation,Bohyung,Yoon,Walter Reed Army Institute of Research,Donn,Colby,Walter Reed Army Institute of Research,Eugène,Kroon,Institute of HIV Research and Innovation,Carlo,Sacdalan,Institute of HIV Research and Innovation,Somchai,Sriplienchan,Institute of HIV Research and Innovation,Suteeraporn,Pinyakorn,Walter Reed Army Institute of Research,Jintanat,Ananworanich,Amsterdam UMC - University of Amsterdam,Victor,Valcour,"University of California, San Francisco",Sandhya,Vasan,Walter Reed Army Institute of Research,Denise,Hsu,Walter Reed Army Institute of Research,Nittaya,Phanuphak,Institute of HIV Research and Innovation,Robert,Paul,Missouri Institute of Mental Health,Serena,Spudich,Yale School of Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gizem Ozbaygin,Tiniç,Sabancı Üniversitesi,Oya E.,Karasan,Bilkent Üniversitesi,Bahar Y.,Kara,Bilkent Üniversitesi,James F.,Campbell,College of Business Administration,Aysu,Ozel,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemarie A.,Martin,Center for Alcohol and Addiction Studies,Nicole,Alexander-Scott,The Warren Alpert Medical School,Justin,Berk,The Warren Alpert Medical School,Ryan W.,Carpenter,University of Missouri-St. Louis,Augustine,Kang,Stanford University School of Medicine,Ariel,Hoadley,Temple University,Eliana,Kaplowitz,Miriam Hospital,Linda,Hurley,CODAC Behavioral Healthcare Inc.,Josiah D.,Rich,Miriam Hospital,Jennifer G.,Clarke,The Warren Alpert Medical School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. C.,Diemer,University of Missouri-St. Louis,R. A.,Paul,Washington University School of Medicine in St. Louis,E. D.,Gerstein,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lais A.A.,Moreira,University of Calgary,Mrinalini,Watsa,San Diego Zoo Wildlife Alliance,Gideon,Erkenswick,Field Projects International,James P.,Higham,New York University,Amanda D.,Melin,University of Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel,Dell,St. Louis University,Erica,Koegler,University of Missouri-St. Louis,Katherine J.,Holzer,Washington University School of Medicine in St. Louis,Michael G.,Vaughn,St. Louis University,Cindy,Bitter,St. Louis University School of Medicine,Rumi Kato,Price,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. George,Wang,"University of Missouri-St. Louis, Department of Biology",Jennifer,Wouk,"University of Missouri-St. Louis, Department of Biology",Randi,Anderson,"University of Missouri-St. Louis, Department of Biology",Robert J.,Marquis,"University of Missouri-St. Louis, Department of Biology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William A.,Ellegood,Sam Houston State University,Jill M.,Bernard Bracy,University of Missouri-St. Louis,Donald C.,Sweeney,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samith,Rathnayake,University of Missouri-St. Louis,Brajesh,Narayan,University College Dublin,Ron,Elber,The University of Texas at Austin,Chung F.,Wong,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iftekhar,Hasan,Bank of Finland,Miriam,Marra,University of Reading,Thomas Y.,To,The University of Sydney,Eliza,Wu,The University of Sydney,Gaiyan,Zhang,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan C.,Pickering,"California State University, Fresno",David,Klinger,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mich,Ciurria,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabha Devi,Balakrishnan,PSGR Krishnammal College for Women,Natarajan,Arunadevi,PSGR Krishnammal College for Women,Nigam P.,Rath,University of Missouri-St. Louis,Ponnusamy,Kanchana,PSGR Krishnammal College for Women,Thathan,Premkumar,Sungkyunkwan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor,Aguiar De Souza Penha,Universidade Federal do Parana,Fabricius,Maia Chaves Bicalho Domingos,Universidade Federal do Parana,Alan,Fecchio,Universidad Nacional de la Patagonia San Juan Bosco,Jeffrey A.,Bell,University of North Dakota,Jason D.,Weckstein,Academy of Natural Sciences Philadelphia,Robert E.,Ricklefs,"University of Missouri-St. Louis, Department of Biology",Erika Martins,Braga,Universidade Federal de Minas Gerais,Patrícia,De Abreu Moreira,Universidade Federal de Ouro Preto,Letícia,Soares,National Aviary,Steven,Latta,National Aviary,Graziela,Tolesano-Pascoli,Universidade de Brasília,Renata Duarte,Alquezar,Universidade de Brasília,Kleber,Del-Claro,Universidade Federal de Uberlândia,Lilian Tonelli,Manica,Universidade Federal do Parana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,Kainer,Oak Ridge National Laboratory,Alan R.,Templeton,Washington University in St. Louis,Erica T.,Prates,Oak Ridge National Laboratory,Daniel,Jacboson,Oak Ridge National Laboratory,Euan R.O.,Allan,"University of Nevada, Reno",Sharlee,Climer,University of Missouri-St. Louis,Michael R.,Garvin,Oak Ridge National Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
